subid	group	block	blocktrial	trial	img	category	ABX	TR	onset	encoded	rt	recogIdx	recogAcc	recogConf
39	0	3	63	231	deserts40.jpg	deserts	B	188	282.024245	1	0.653266668319702	228	0	3
39	0	3	64	232	fields27.jpg	fields	X	191	286.524209	1	0.563316822052002	178	0	4
39	0	3	65	233	lighthouses24.jpg	lighthouses	A	194	291.024083	1	0.566501140594482	140	0	4
39	0	3	66	234	canyons46.jpg	canyons	B	197	295.524069	1	0.998560667037964	326	1	4
39	0	3	67	235	forests46.jpg	forests	X	199	298.524028	1	0.624554634094238	318	1	1
39	0	3	68	236	waterfalls24.jpg	waterfalls	A	201	301.523948	1	0.807593107223511	234	1	4
39	0	3	69	237	bridges54.jpg	bridges	B	203	304.523909	1	0.674673080444336	324	0	4
39	0	3	70	238	lighthouses39.jpg	lighthouses	A	206	309.023859	1	0.698738813400269	351	0	4
39	0	3	71	239	canyons56.jpg	canyons	B	208	312.023845	1	0.554760932922363	365	0	4
39	0	3	72	240	beaches29.jpg	beaches	X	211	316.523786	1	0.494914770126343	384	1	4
39	0	3	73	241	fields40.jpg	fields	X	213	319.523703	1	0.841960906982422	222	0	1
39	0	3	74	242	lakes18.jpg	lakes	X	216	324.023678	1	0.743916749954224	79	1	4
39	0	3	75	243	marshes37.jpg	marshes	A	220	330.02358	1	0.70006799697876	191	0	4
39	0	3	76	244	deserts12.jpg	deserts	B	223	334.523535	1	0.528177738189697	491	0	1
39	0	3	77	245	lakes53.jpg	lakes	X	226	339.023507	1	0.623239755630493	454	0	4
39	0	3	78	246	forests39.jpg	forests	X	228	342.023403	1	0.583331823348999	173	0	1
39	0	3	79	247	beaches23.jpg	beaches	X	230	345.02335	1	0.587306976318359	292	1	4
39	0	3	80	248	lakes51.jpg	lakes	X	232	348.023309	1	0.510335922241211	293	0	1
39	0	3	81	249	mountains32.jpg	mountains	X	235	352.523257	1	0.778425931930542	38	0	1
39	0	3	82	250	parks16.jpg	parks	X	238	357.023238	1	0.534539461135864	85	0	4
39	0	3	83	251	fields31.jpg	fields	X	240	360.023204	1	0.674567222595215	450	1	1
39	0	4	0	252	mountains10.jpg	mountains	X	5	7.679992	1	0.616046667098999	299	1	1
39	0	4	1	253	waterfalls30.jpg	waterfalls	A	7	10.563431	1	0.64557409286499	403	0	4
39	0	4	2	254	bridges47.jpg	bridges	B	10	15.013208	1	0.675824403762817	75	1	2
39	0	4	3	255	lighthouses34.jpg	lighthouses	A	12	18.013258	1	0.625849962234497	468	0	4
39	0	4	4	256	canyons5.jpg	canyons	B	14	21.013128	1	0.551915645599365	489	0	1
39	0	4	5	257	marshes30.jpg	marshes	A	18	27.013048	1	0.70297384262085	224	0	1
39	0	4	6	258	deserts31.jpg	deserts	B	21	31.512975	1	0.568025827407837	486	0	3
39	0	4	7	259	waterfalls13.jpg	waterfalls	A	23	34.51295	1	0.667091608047485	166	0	2
39	0	4	8	260	bridges45.jpg	bridges	B	25	37.51292	1	0.651196479797363	291	1	4
39	0	4	9	261	beaches5.jpg	beaches	X	27	40.512922	1	0.669170618057251	476	0	4
39	0	4	10	262	marshes12.jpg	marshes	A	30	45.012823	1	0.608279705047607	273	1	1
39	0	4	11	263	deserts6.jpg	deserts	B	34	51.012896	1	0.544313669204712	122	0	4
39	0	4	12	264	lighthouses22.jpg	lighthouses	A	38	57.012667	1	0.662469625473022	52	1	4
39	0	4	13	265	canyons17.jpg	canyons	B	41	61.512568	1	0.597527742385864	429	0	4
