subid	trial	img	categ	cond	rep	answer	trialdur	acc	rt	resp	group	block	ITI
101	18	lakes4.jpg	lakes	X	1	yes	0.999942	1	0.747034549713135	k	1	1	2
101	19	bridges21.jpg	bridges	X	2	yes	0.999935	1	0.49409031867981	k	1	1	2
101	20	mountains54.jpg	mountains	B	1	no	0.999877	1	0.655122756958008	j	1	1	5
101	21	waterfalls52.jpg	waterfalls	X	2	no	0.999974	1	1.14125776290894	j	1	1	2
101	22	deserts37.jpg	deserts	B	1	no	0.999902	1	0.541356563568115	j	1	1	2
101	23	lighthouses34.jpg	lighthouses	X	3	yes	1.000007	1	0.656332731246948	k	1	1	2
101	24	fields14.jpg	fields	X	1	yes	0.999983	1	0.795429468154907	k	1	1	2
101	25	lighthouses17.jpg	lighthouses	X	4	yes	0.999977	1	0.551506519317627	k	1	1	5
101	26	bridges7.jpg	bridges	X	3	yes	0.999994	1	0.632600784301758	k	1	1	5
101	27	waterfalls41.jpg	waterfalls	X	3	no	0.999988	1	0.605691432952881	j	1	1	5
101	28	marshes27.jpg	marshes	B	1	no	1.000006	1	0.806781768798828	j	1	1	3.5
101	29	canyons44.jpg	canyons	X	1	no	0.999995	1	0.889861822128296	j	1	1	3.5
101	30	forests27.jpg	forests	A	1	no	0.999986	1	0.489949703216553	j	1	1	2
101	31	fields52.jpg	fields	X	2	yes	0.999996	1	0.720011711120605	k	1	1	2
101	32	beaches49.jpg	beaches	A	1	yes	0.999977	1	0.669041633605957	k	1	1	3.5
101	33	forests35.jpg	forests	A	2	no	1.000025	1	0.612115621566772	j	1	1	3.5
101	34	mountains35.jpg	mountains	B	2	no	0.999966	1	0.681158542633057	j	1	1	3.5
101	35	lakes12.jpg	lakes	X	2	yes	1	1	0.664223670959473	k	1	1	2
101	36	deserts49.jpg	deserts	B	2	no	1.000006	1	0.746252775192261	j	1	1	3.5
101	37	mountains4.jpg	mountains	B	3	no	1.000017	0	0.744343757629395	k	1	1	2
101	38	forests41.jpg	forests	A	3	no	0.999958	1	0.741429805755615	j	1	1	2
101	39	lakes6.jpg	lakes	X	3	yes	0.999959	1	0.64449143409729	k	1	1	2
101	40	beaches22.jpg	beaches	A	2	yes	0.999961	1	0.790526390075684	k	1	1	2
